AggressionTestID,ID,ColourID,ID_Series,SiteID,NestID,Year2,Year,Sex,NestStage,RawMinDis,MinDis,Date,TravelMode,NestApproach,Observer,NestVisibleDistance,NumberAdultsPresent,NumberOfEggs,NumberOfChicks,ClutchSize,JulianLay,JulianHatch,LayDate,HatchDate,NumberHatched,Fledged,NumberFledged,JulianTestDay
88,92H,92H,92HMale2018,75,75,0,2018,Male,2Incubating,2,598,6/30/2018,Quad,Above,Kevin,5,2,3,0,4,157,193,6/6/2018,7/12/2018,2,1,1,181
305,92H,92H,92HMale2019,75,231,1,2019,Male,2Incubating,2,598,6/18/2019,Quad,Below,Nick,2,2,4,0,4,,196,,7/15/2019,4,0,0,169
343,92H,92H,92HMale2019,75,231,1,2019,Male,2Incubating,2,598,7/4/2019,Quad,Below,Nick,2,2,4,0,4,,196,,7/15/2019,4,0,0,185
117,38A,38A,38AMale2018,77,77,0,2018,Male,2Incubating,2,598,7/13/2018,Quad,Above,Silu,2,2,3,0,3,166,198,6/15/2018,7/17/2018,3,1,1,194
191,38A,38A,38AMale2018,77,77,0,2018,Male,3Provisioning,2,598,7/27/2018,Quad,Above,Silu,2,2,0,3,3,166,198,6/15/2018,7/17/2018,3,1,1,208
227,39E,39E,39EFemale2018,1,1,0,2018,Female,3Provisioning,3,597,8/13/2018,Quad,Above,Erik,3,2,0,2,2,160,199,6/9/2018,7/18/2018,2,1,2,225
378,157Female,,1Female2019,1,157,1,2019,Female,2Incubating,3,597,7/14/2019,Quad,Above,Erik,5,2,2,0,3,162,198,6/11/2019,7/17/2019,1,0,0,195
144,11A,11A,11AMale2018,3,3,0,2018,Male,3Provisioning,3,597,7/19/2018,Boat,Below,Erik,1,2,1,3,4,161,199,6/10/2018,7/18/2018,3,0,0,200
403,86C,86C,86CFemale2019,4,160,1,2019,Female,3Provisioning,3,597,7/19/2019,Quad,Above,Nick,2,2,0,4,4,161,198,6/10/2018,7/17/2019,4,0,0,200
152,18K,18K,18KFemale2018,8,8,0,2018,Female,3Provisioning,3,597,7/19/2018,Boat,Below,Erik,4,1,1,2,4,157,,6/6/2018,,2,1,2,200
161,88C,88C,88CFemale2018,18,18,0,2018,Female,3Provisioning,3,597,7/20/2018,Quad,Above,Erik,3,2,0,4,4,159,195,6/8/2018,7/14/2018,4,1,3,201
169,93E,93E,93EFemale2018,22,22,0,2018,Female,3Provisioning,3,597,7/24/2018,Boat,Above,Erik,3,1,0,3,3,158,193,6/7/2018,7/12/2018,3,1,3,205
136,23Female,,23Female2018,23,23,0,2018,Female,3Provisioning,3,597,7/17/2018,Boat,Above,Erik,10,2,1,2,3,159,195,6/8/2018,7/14/2018,2,1,1,198
221,49E,49E,49EFemale2018,33,33,0,2018,Female,3Provisioning,3,597,8/15/2018,Quad,Above,Erik,2,2,0,2,3,,201,,7/20/2018,2,1,2,227
276,88C,88C,88CFemale2019,37,193,1,2019,Female,2Incubating,3,597,6/22/2019,Quad,Above,Rebekah,3,2,4,0,4,,201,,7/20/2019,4,0,0,173
356,88C,88C,88CFemale2019,37,193,1,2019,Female,2Incubating,3,597,7/8/2019,Quad,Side,Erik,2,More than 2,4,0,4,,201,,7/20/2019,4,0,0,189
384,88C,88C,88CFemale2019,37,193,1,2019,Female,2Incubating,3,597,7/15/2019,Quad,Above,Nick,2,2,4,0,4,,201,,7/20/2019,4,0,0,196
224,40Male,,40Male2018,40,40,0,2018,Male,3Provisioning,3,597,8/14/2018,Boat,Below,Erik,15,2,0,1,4,161,200,6/10/2019,7/19/2018,3,1,1,226
405,89C,89C,89CFemale2019,58,214,1,2019,Female,3Provisioning,3,597,7/19/2019,Quad,Above,Rebekah,2,2,2,2,4,,199,,7/18/2019,2,0,0,200
346,217Male,,61Male2019,61,217,1,2019,Male,2Incubating,3,597,7/5/2019,Quad,Above,Nick,2,2,3,0,3,,199,,7/18/2019,3,0,0,186
450,217Female,,61Female2019,61,217,1,2019,Female,3Provisioning,3,597,7/31/2019,Quad,Above,Nick,2,1,0,1,3,,199,,7/18/2019,3,0,0,212
